id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
HK-NST-R39,碧湖,Bik Woo,bik-woo-r39,HK-NST-R39,22.39,114.209
HK-NST-R19,翠嘉,Chui Ka,chui-ka-r19,HK-NST-R19,22.372,114.178
HK-NST-R13,翠田,Chui Tin,chui-tin-r13,HK-NST-R13,22.36,114.182
HK-NST-R11,秦豐,Chun Fung,chun-fung-r11,HK-NST-R11,22.373,114.188
HK-NST-R24,駿馬,Chun Ma,chun-ma-r24,HK-NST-R24,22.412,114.204
HK-NST-R26,頌安,Chung On,chung-on-r26,HK-NST-R26,22.42,114.227
HK-NST-R21,松田,Chung Tin,chung-tin-r21,HK-NST-R21,22.379,114.165
HK-NST-R04,第一城,City One,city-one-r04,HK-NST-R04,22.387,114.204
HK-NST-R38,帝怡,Di Yee,di-yee-r38,HK-NST-R38,22.384,114.212
HK-NST-R23,火炭,Fo Tan,fo-tan-r23,HK-NST-R23,22.407,114.189
HK-NST-R31,富龍,Fu Lung,fu-lung-r31,HK-NST-R31,22.425,114.237
HK-NST-R34,恆安,Heng On,heng-on-r34,HK-NST-R34,22.417,114.228
HK-NST-R14,顯嘉,Hin Ka,hin-ka-r14,HK-NST-R14,22.355,114.174
HK-NST-R25,海嵐,Hoi Nam,hoi-nam-r25,HK-NST-R25,22.416,114.224
HK-NST-R10,乙泉,Jat Chuen,jat-chuen-r10,HK-NST-R10,22.371,114.196
HK-NST-R27,錦濤,Kam To,kam-to-r27,HK-NST-R27,22.423,114.228
HK-NST-R32,錦英,Kam Ying,kam-ying-r32,HK-NST-R32,22.423,114.233
HK-NST-R17,徑口,Keng Hau,keng-hau-r17,HK-NST-R17,22.364,114.174
HK-NST-R40,廣康,Kwong Hong,kwong-hong-r40,HK-NST-R40,22.387,114.22
HK-NST-R41,廣源,Kwong Yuen,kwong-yuen-r41,HK-NST-R41,22.381,114.215
HK-NST-R30,利安,Lee On,lee-on-r30,HK-NST-R30,22.427,114.245
HK-NST-R02,瀝源,Lek Yuen,lek-yuen-r02,HK-NST-R02,22.387,114.186
HK-NST-R15,下城門,Lower Shing Mun,lower-shing-mun-r15,HK-NST-R15,22.366,114.157
HK-NST-R28,馬鞍山市中心,Ma On Shan Town Centre,ma-on-shan-town-centre-r28,HK-NST-R28,22.425,114.231
HK-NST-R36,鞍泰,On Tai,on-tai-r36,HK-NST-R36,22.408,114.221
HK-NST-R08,博康,Pok Hong,pok-hong-r08,HK-NST-R08,22.376,114.197
HK-NST-R07,沙角,Sha Kok,sha-kok-r07,HK-NST-R07,22.379,114.195
HK-NST-R01,沙田市中心,Sha Tin Town Centre,sha-tin-town-centre-r01,HK-NST-R01,22.38,114.183
HK-NST-R09,水泉澳,Shui Chuen O,shui-chuen-o-r09,HK-NST-R09,22.366,114.199
HK-NST-R22,穗禾,Sui Wo,sui-wo-r22,HK-NST-R22,22.4,114.177
HK-NST-R12,新田圍,Sun Tin Wai,sun-tin-wai-r12,HK-NST-R12,22.361,114.186
HK-NST-R35,大水坑,Tai Shui Hang,tai-shui-hang-r35,HK-NST-R35,22.404,114.242
HK-NST-R20,大圍,Tai Wai,tai-wai-r20,HK-NST-R20,22.378,114.177
HK-NST-R18,田心,Tin Sum,tin-sum-r18,HK-NST-R18,22.367,114.178
HK-NST-R16,雲城,Wan Shing,wan-shing-r16,HK-NST-R16,22.369,114.176
HK-NST-R03,禾輋邨,Wo Che Estate,wo-che-estate-r03,HK-NST-R03,22.389,114.197
HK-NST-R06,王屋,Wong Uk,wong-uk-r06,HK-NST-R06,22.381,114.2
HK-NST-R29,烏溪沙,Wu Kai Sha,wu-kai-sha-r29,HK-NST-R29,22.428,114.243
HK-NST-R33,耀安,Yiu On,yiu-on-r33,HK-NST-R33,22.419,114.231
HK-NST-R37,愉欣,Yu Yan,yu-yan-r37,HK-NST-R37,22.38,114.22
HK-NST-R05,愉城,Yue Shing,yue-shing-r05,HK-NST-R05,22.385,114.204
